ukuangjiu 匛
ukuangye 匜
ukuangjin 匝
ukuanggong 匞
ukuangkang 匟
ukuangjin 匠
ukuangwang 匡
ukuangwu 匢
ukuangjia 匣
ukuangyu 匤
ukuangbian 匥
ukuanggui 匦
ukuangjia 匧
ukuangzhuang 匨
ukuangwang 匩
ukuangfei 匪
ukuangri 匫
ukuangyu 匬
ukuanggui 匭
ukuanggui 匮
ukuanghuai 匯
ukuangdan 匰
ukuanggui 匱
ukuangpin 匲
ukuangqian 匳
ukuangsuan 匴
ukuangmai 匵
ukuangjiu 匶
ukuangqu 匷
uhengyi 匸
ukuanger 匹
ukuangcha 区
ukuangshi 医
ukuanghe 匼
ukuangyan 匽
ukuangbian 匾
ukuangruo 匿
ukuangqu 區
uhengshu 十
uyishi 卂
upieshi 千
ushishu 卄
uchuanheng 卅
ujiushi 卆
upiecao 升
upiegan 午
ushicao 卉
ubashi 半
ushinian 卋
ucaocao 卌
uyiyi 卍
uhuashi 华
ushiban 协
uyiyi 卐
ubaishi 卑
uershi 卒
ubuzao 卓
ushili 協
ubashi 单
ushimai 卖
ushigan 南
uxiaoshi 単
ushenshi 卙
ushifu 博
uluanshi 卛
ushudian 卜
uhengheng 卝
udianxia 卞
ukoubu 卟
ubukou 占
ushangbu 卡
ubushi 卢
uzhankou 卣
uzhancha 卤
uzhancha 卥
uguibu 卦
uchenbu 卧
ubuguo 卨
uyishu 卩
uerdian 卪
uerheng 卫
upieer 卬
ugonger 卭
uchangfan 卮
upieer 卯
upieer 印
udaoe 危
uzhaoer 卲
ugener 即
uquer 却
umaodian 卵
uduoer 卶
ujuanfan 卷
uwuer 卸
uxueer 卹
uchengfan 卺
uguer 卻
uwuwei 卼
ubaier 卽
ueer 卾
umaogen 卿
umuer 厀
uxieer 厁
uhengpie 厂
udaochang 厃
uchangfan 厄
uchangding 厅
uchangli 历
uchangtuo 厇
uchanggan 厈
uchangwan 厉
uchangya 厊
uchangtu 压
uchangquan 厌
uchangche 厍
uchangdi 厎
uchangzha 厏
uchanglong 厐
uchangchi 厑
uchangfou 厒
uchanggui 厓
uchangzhi 厔
uchangze 厕
uchanglong 厖
uchangxin 厗
uchangli 厘
uchangche 厙
uchangzi 厚
uchangting 厛
uchangchui 厜
uchangxi 厝
uchangfei 厞
uchangxiao 原
uchangze 厠
uchangquan 厡
uchangxiang 厢
uyanjia 厣
uchanghe 厤
uchangqian 厥
uchangxia 厦
uchangzhen 厧
uchangcun 厨
uchangji 厩
uchangjin 厪
uchangao 厫
uchangjiu 厬
uchangquan 厭
uchangsi 厮
uchangxin 厯
uchangchang 厰
uchangqian 厱
uchangwan 厲
uxiaogan 厳
uyanjia 厴
uyuanyuan 厵
uyidian 厶
uhengsi 厷
usisi 厸
ujiusi 厹
udasi 厺
utusi 去
usixiao 厼
usisi 厽
ubingqu 厾
uqiesi 县
ushisi 叀
usisan 叁
usishan 参
usiyi 參
usisan 叄
usixin 叅
uyunai 叆
uyundai 叇
uyishui 又
uyoudian 叉
uyishui 及
uhengyou 友
uyouyou 双
uchangyou 反
ujiuyou 収
uyiyou 叏
upieyou 叐
uyidian 发
uyoushuang 叒
ushuyou 叓
ushangyou 叔
ushuangshuang 叕
ueryou 取
uzhaoyou 受
uyiyou 变
uyuyou 叙
ukouyou 叚
ubanfan 叛
uzaiyou 叜
uquyou 叝
ushiyou 叞
ujiuyou 叟
uyouqie 叠
uruiyou 叡
uyequ 叢
ukuangheng 口
ushikou 古
ubaokou 句
ukouli 另
ukoudao 叧
ukoudao 叨
ukouer 叩
ukouba 只
ukoujiu 叫
udaokou 召
ukouba 叭
ukouding 叮
udingkou 可
usikou 台
ukoubi 叱
ukoushui 史
uhengkou 右
ujiukou 叴
ukuangkou 叵
ukoushi 叶
ukoukao 号
uyikou 司
ukouyou 叹
ukouru 叺
ukouli 叻
ukoudiao 叼
ukouji 叽
uliaokou 叾
ukougong 叿
ukouqian 吀
